,time (s),surface tension (mN/m)
0,0.19091,43.62922101308748
1,0.48198,43.62922101308748
2,1.19215,42.77866493861824
3,1.447686,42.77866493861824
4,2.05879,42.57817923771871
5,2.365384,44.07956394979475
6,3.823664,44.07956394979475
7,4.097345,42.57817923771871
8,4.376098,44.07956394979475
9,4.853021,42.37897337910001
10,5.316252,42.57817923771871
11,6.185298,42.37897337910001
12,7.076914,42.57817923771871
13,7.670538,44.07956394979475
14,8.897645,43.42370391651756
15,9.208166,44.534600048601376
16,9.695098,42.77866493861824
17,10.245918,41.94738760234691
18,10.511499,44.07956394979475
19,10.931042,42.57817923771871
20,11.987695,42.37897337910001
21,12.25829,43.42370391651756
22,12.941058,41.32692973559448
23,13.957501,43.87157657557453
24,14.228194,41.75178813032274
25,14.462628,43.42370391651756
26,15.224284,42.77866493861824
27,15.611876,42.57817923771871
28,15.851216,42.57817923771871
29,16.118374,43.01661832234542
30,16.351065,42.37897337910001
31,17.16598,42.57817923771871
32,17.647099,42.57817923771871
33,17.916718,43.219506704573845
34,18.159845,42.37897337910001
35,18.509443,42.18103669647573
36,19.027041,42.57817923771871
37,19.504497,43.01661832234542
38,19.822603,43.219506704573845
39,20.113041,42.57817923771871
40,20.943115,41.75178813032274
41,21.200415,41.13486226081602
42,21.808459,42.37897337910001
43,22.35469,41.557429817529425
44,22.890988,41.94738760234691
45,23.224693,42.37897337910001
46,23.541756,41.557429817529425
47,24.326499,41.75178813032274
48,24.5854,41.32692973559448
49,25.051272,43.219506704573845
50,25.367401,43.6649277386899
51,25.852883,43.219506704573845
52,26.102131,43.01661832234542
53,26.580447,43.42370391651756
54,27.378491,42.57817923771871
55,27.682915,43.01661832234542
56,28.421561,43.01661832234542
57,29.212891,43.01661832234542
58,29.613648,41.75178813032274
59,30.046957,42.37897337910001
60,30.454817,41.75178813032274
