alpha,cmc,gamma_max,Kad,st_at_cmc,C20
0.0,0.07949902,3.5238594e-05,8453.745,28.586535,0.035996642
0.2,0.11568023,7.736906e-06,73049.03,30.591185,0.03237118
0.4,0.1376128,8.878179e-06,40783.53,32.15325,0.04650004
0.6,0.18904968,8.079574e-06,32877.207,34.066277,0.06721401
0.8,0.24333452,2.0654526e-05,4665.8823,35.79578,0.1278775
1.0,0.5701599,7.0899523e-06,10661.578,38.92508,0.2568
