alpha,cmc,gamma_max,Kad,st_at_cmc,C20
0.0,7.419878,1.5437614e-05,204.30795,38.161148,4.0901246
0.145,7.9194307,3.222138e-05,84.06977,38.223103,4.761776
0.311,9.137652,2.7814685e-05,77.108116,37.489246,5.3551593
0.504,10.480414,7.1488386e-05,27.868309,37.54727,6.465849
0.731,15.183946,4.8458787e-05,26.74976,35.97223,8.775991
1.0,114.77995,5.8655482e-06,75.9421,40.28559,51.799156
