alpha,cmc,gamma_max,Kad,st_at_cmc,C20
0.0,1.3234307,9.284468e-06,3742.5098,32.55967,0.46848407
0.2,0.08415679,8.866562e-06,90793.06,26.195154,0.020620836
0.4,0.012120176,2.7186443e-05,79664.77,28.56863,0.0052360776
0.6,0.028617376,1.4187382e-05,99239.32,26.083366,0.009362476
0.8,0.11554725,4.866165e-05,2557.08,42.728893,0.08454887
1.0,114.77995,5.8655482e-06,75.9421,40.28559,51.799156
