sample,cmc_mean,cmc_std,gamma_max_mean,gamma_max_std,Kad_mean,Kad_std,st_at_cmc_mean,st_at_cmc_std,C20_mean,C20_std,cmc_relerr,gamma_max_relerr,Kad_relerr,st_at_cmc_relerr,C20_relerr
16BAC_1,0.5359461506207784,0.03017823757035836,8.211446280862825e-06,1.0407809928121482e-06,8508.265950520834,1979.9348582796401,39.072217305501304,0.14870371307908167,0.2573763926823934,0.005652636501664833,5.630833906616059,12.674758589576832,23.270721317290725,0.3805868295530401,2.19625290523062
BDDAB_1,5.004410107930501,0.32327716816184277,7.4970190932314535e-06,3.968556263627347e-07,2042.6619059244792,270.30461187419587,28.71962292989095,1.6997826692325078,1.224064826965332,0.0728585450326666,6.4598456399395525,5.293512280381258,13.23295896840353,5.918541038585154,5.952180262649611
C12E3_1,0.11789972086747487,0.010588887809621052,1.0662311372774033e-05,3.392051920352693e-06,51647.611328125,34360.52012237386,28.143278121948242,1.0706652641444152,0.03475520325203737,0.00654168612833105,8.9812662249841,31.8134764757876,66.52876917012935,3.804337431855282,18.822177735207386
C12E4_1,0.09527457505464554,0.019191259864910597,1.2720412541966652e-05,8.190530553679851e-06,59443.065104166664,42638.49848431542,30.500680287679035,3.1929854010028773,0.03182602611680826,0.0073325242502747905,20.14310728114325,64.38887517726329,71.72997961931588,10.468571097060764,23.039396195311575
CTAB_1,1.0632989207903545,0.22807806074252165,4.089480838350331e-05,5.021377754795626e-05,1971.2830403645833,1746.0681574062855,34.86589050292969,2.071053458004198,0.4939495424429576,0.043545251839093795,21.450041590655456,122.78765822072457,88.57521328258143,5.940056106784862,8.815728753129171
DTAB_1,12.925645510355631,1.492054273841829,7.812541146752968e-06,1.5766737651153552e-06,546.5126749674479,206.56854726889304,34.87153625488281,0.9202938549517076,4.6081695556640625,0.37088434575924006,11.543363715540867,20.18131790282665,37.797576658436505,2.6390975385342976,8.04840927138571
NaOleate_1,0.16308583319187164,0.010727882065937095,1.7261524286974843e-05,1.7091769040069162e-07,7585.408528645833,997.5569736501787,39.00858052571615,1.3661793594566558,0.09545483936866124,0.011550171343474008,6.57805883930805,0.9901656861767546,13.150998655945367,3.5022534556365392,12.100142245135915
SDBS_1,2.6618204911549888,0.11432361819626952,8.099614660750376e-06,1.3114631833179396e-06,2375.2601725260415,852.5198910700734,35.05452092488607,0.7042270934206757,0.98803182442983,0.08360431922335256,4.294940946474698,16.19167378015044,35.89164256324121,2.0089479897034552,8.461703070303292
SDS_2,7.679634253184001,0.3107023907838818,1.4659300480464784e-05,1.6955517443372356e-06,217.35961405436197,35.204964630306215,38.24300765991211,0.09815051799812533,4.1922634442647295,0.08850382164343351,4.04579672078867,11.566389177960808,16.19664480150457,0.25664957858691306,2.1111226147896813
SOS_4,201.42288208007812,25.900488780323588,3.4891802442871267e-06,3.5000820847444714e-07,252.4451141357422,76.78119658355327,39.90362803141276,0.049811351720225695,57.655721028645836,0.682574731368033,12.858761880900172,10.031244704182866,30.415005989090872,0.12482913002550401,1.1838803143731402
TTAB_1,2.99649977684021,0.48356463472063427,2.74169121136462e-05,1.5830542067483706e-05,669.5622406005859,736.8767995318454,31.04574966430664,0.7151369044377144,1.2636383771896362,0.10088486609236287,16.13764961566425,57.74006205317477,110.05351778363122,2.3034937541221905,7.983681717291096
