sample,cmc_mean,cmc_std,gamma_max_mean,gamma_max_std,st_at_cmc_mean,st_at_cmc_std,C20_mean,C20_std,log(Kad)_mean,log(Kad)_std
16BAC_1,0.5401833852132162,0.03179807726838894,7.753827958367765e-06,1.3233946158624182e-06,39.069801330566406,0.17274762574872868,0.2526725431283315,0.009328222639276216,3.9772223780839444,0.13996816240042287
BDDAB_1,3.8571949005126953,0.4741535352832686,7.911989390170978e-06,4.1767093871840837e-07,32.43719482421875,0.11887148445211837,1.2255072593688965,0.10340455194386707,3.268132338856065,0.006645251622703804
C12E3_1,0.09001032759745914,0.004553912097765756,9.550444095414909e-06,2.4501915230011927e-06,28.182151158650715,0.4833791550968736,0.0252735161532958,0.00461273747905301,4.842134790744954,0.23298275963330758
C12E4_1,0.07970495025316873,0.015474608557090258,8.479975804220885e-06,5.862929794865712e-07,30.263640721638996,2.0508554823693372,0.02330410542587433,0.0018721652782151853,4.9383992159083805,0.04782101034039007
CTAB_1,1.1094395120938618,0.2185722717438767,1.549667801252023e-05,6.635301399716836e-06,34.50919087727865,1.9953799154925,0.488161822160085,0.03390261399002754,3.287328590589484,0.3138372626863875
DTAB_1,13.61591911315918,0.8777074908552933,7.910275598987937e-06,1.5779503249396359e-06,34.17246882120768,1.788486876047611,4.7499314943949384,0.6138632555468552,2.6959948767894897,0.17038410569073664
NaOleate_1,0.1396060983339945,0.017717891145441058,1.461125642284363e-05,3.23205660500414e-06,38.66023508707682,0.5029858692963665,0.07742645591497417,0.013942940093853485,4.0848118330771905,0.2071311800715949
SDBS_1,2.8242056369781494,0.1693495693489767,6.66108977990613e-06,1.0390806150143915e-06,34.987080891927086,0.6376785439815429,0.9280586441357931,0.11764306859566385,3.533339026205971,0.1933881439551185
SDS_2,7.701277573903401,0.2883424507970828,1.4835886455936512e-05,1.547715816723752e-06,38.250885009765625,0.0914436048350434,4.231035947799683,0.2345603563304764,2.3224449151495574,0.08381459400335907
SOS_4,62.49324417114258,2.812161466736503,9.083273046902226e-06,8.581834237733179e-07,41.0942497253418,0.6581401427705476,35.26135508219401,2.2337946354419094,1.7149768246019186,0.08858972668378615
TTAB_1,2.8621811866760254,0.7557253792810632,9.994970453890111e-05,0.00015262374228559655,33.38858413696289,0.7245585574368052,1.2212106784184773,0.07410941592355698,2.7660513001699782,0.4688837635513015
