solution,cmc,gamma_max,Kad,g0,st_at_cmc,C20
DTAB_1_1,14.549050331115723,5.954589141765609e-06,997.19921875,0.0739753395318985,34.26399612426758,4.248744487762451
DTAB_1_2,14.209836959838867,6.42982331555686e-06,768.0494995117188,0.07444215565919876,35.912147521972656,4.966611385345459
DTAB_1_3,11.391189575195312,9.283281542593613e-06,399.8340148925781,0.07296422868967056,34.468467712402344,4.46638822555542
TTAB_1_1,2.8780267238616943,0.00012555174180306494,127.22317504882812,0.07175982743501663,30.224130630493164,1.3993020057678223
TTAB_1_2,3.5636682510375977,8.451190296909772e-06,1950.550537109375,0.07416000962257385,31.684696197509766,1.1602513790130615
TTAB_1_3,2.5671191215515137,3.0910130590200424e-05,329.4267883300781,0.07339012622833252,31.226198196411133,1.2350142002105713
BDDAB_1_1,5.180218696594238,8.107017492875457e-06,1661.8963623046875,0.07255760580301285,27.99822425842285,1.2986788749694824
BDDAB_1_2,5.184466361999512,7.250816906889668e-06,2360.614013671875,0.07304000854492188,27.491783142089844,1.1462048292160034
BDDAB_1_3,4.596185684204102,7.551670478278538e-06,1879.4283447265625,0.07219583541154861,30.631254196166992,1.25875723361969
SDBS_1_1,2.620124578475952,7.234797976707341e-06,3078.608642578125,0.07446219027042389,35.59358596801758,0.9794952273368835
SDBS_1_2,2.7305727005004883,8.283865099656396e-06,2216.954345703125,0.07387211918830872,35.100521087646484,1.04914128780365
SDBS_1_3,2.8744306564331055,5.696968855772866e-06,7721.94921875,0.07794967293739319,34.30286407470703,0.8431692719459534
SDS_2_1,7.60064172744751,1.5623860235791653e-05,195.9384765625,0.07287689298391342,38.35308074951172,4.246277332305908
SDS_2_2,7.400765419006348,1.6215544746955857e-05,191.51597595214844,0.07264796644449234,38.16808319091797,4.115746021270752
SDS_2_3,8.235032081604004,9.413950465386733e-06,490.0177001953125,0.0751800462603569,38.21586608886719,4.101490497589111
SOS_4_1,192.22198486328125,3.5319158087077085e-06,262.1353454589844,0.07358984649181366,39.96195602416992,57.49430465698242
SOS_4_2,229.9134063720703,3.0759547371417284e-06,387.96539306640625,0.07346399128437042,39.993072509765625,58.58153533935547
SOS_4_3,180.86390686035156,3.677808990687481e-06,250.78184509277344,0.07409508526325226,39.96050262451172,56.17913055419922
C12E4_1_1,0.10059178620576859,1.499358313594712e-05,27374.677734375,0.07604251056909561,28.28738021850586,0.03879767283797264
C12E4_1_2,0.11707239598035812,6.8716663008672185e-06,95943.28125,0.07114144414663315,29.064828872680664,0.026342857629060745
C12E4_1_3,0.0729159563779831,8.582179361837916e-06,80389.6953125,0.07444773614406586,34.20293045043945,0.027615537866950035
NaOleate_1_1,0.15342266857624054,1.7284235582337715e-05,9430.38671875,0.07583408057689667,38.07771301269531,0.09000004082918167
NaOleate_1_2,0.1451064646244049,1.721118860587012e-05,9767.9462890625,0.07543569058179855,38.362422943115234,0.08508144319057465
NaOleate_1_3,0.17354105412960052,1.747860551404301e-05,7424.39501953125,0.07542748749256134,40.03517150878906,0.10990719497203827
16BAC_1_1,0.5653093457221985,7.512564934586408e-06,9153.859375,0.0722295418381691,38.93804168701172,0.2600271999835968
16BAC_1_2,0.5219363570213318,7.371695573965553e-06,11426.5498046875,0.07407695055007935,39.206233978271484,0.24735642969608307
16BAC_1_3,0.5359408259391785,7.811278919689357e-06,9995.1689453125,0.07420428842306137,39.04803466796875,0.25840863585472107
C12E3_1_1,0.12164854258298874,7.582300895592198e-06,94397.4453125,0.07438180595636368,27.62289047241211,0.028949707746505737
C12E3_1_2,0.10578659176826477,9.912798304867465e-06,52903.44140625,0.07468193769454956,29.278764724731445,0.03393510356545448
C12E3_1_3,0.12324208766222,1.1616282790782861e-05,36649.94140625,0.0753762274980545,27.520490646362305,0.04016731306910515
CTAB_1_1,1.3745014667510986,8.151267138600815e-06,5379.892578125,0.07459022849798203,32.306671142578125,0.4540824890136719
CTAB_1_2,0.890236496925354,9.170377597911283e-05,298.83514404296875,0.07313470542430878,36.64992904663086,0.5408419370651245
CTAB_1_3,0.9813904762268066,1.2184471415821463e-05,2730.9521484375,0.074042908847332,35.44636154174805,0.45883306860923767
