,time (s),surface tension (mN/m)
0,0.105573,71.19921140397015
1,0.354753,71.49457313839333
2,0.608979,72.42125119224136
3,0.857202,71.49457313839333
4,1.222557,71.7916222108646
5,1.483133,71.7916222108646
6,1.728069,71.7916222108646
7,1.988013,71.49457313839333
8,2.325284,71.15388919163357
9,2.59314,70.8735734985131
10,2.84642,72.72308657387667
11,3.09038,71.19921140397015
12,3.450109,71.19921140397015
13,3.704982,71.49457313839333
14,3.97621,70.8735734985131
15,4.240311,70.8735734985131
16,4.559682,72.37410763095637
17,4.828411,71.77689026520319
18,5.117698,70.5812244031668
19,5.368646,73.31312948318626
20,5.697445,70.29053026441206
21,5.959473,71.7916222108646
22,6.222179,70.00147895288995
23,6.468865,72.42125119224136
24,6.802093,70.5812244031668
25,7.080909,71.19921140397015
26,7.323682,72.37410763095637
27,7.582499,71.49457313839333
28,8.019119,71.49457313839333
29,8.267014,70.8735734985131
30,8.520016,70.5812244031668
31,8.770919,71.19921140397015
32,9.017841,71.19921140397015
33,9.345805,70.8735734985131
34,9.60482,72.72308657387667
35,9.858542,71.77689026520319
36,10.106845,70.86083648940975
37,10.514388,71.19921140397015
38,10.802595,72.37410763095637
39,11.090642,71.77689026520319
40,11.361913,72.42125119224136
41,11.686263,71.19921140397015
42,12.013469,71.49457313839333
43,12.296103,71.7916222108646
44,12.553662,70.29053026441206
45,12.906776,71.77689026520319
46,13.160082,71.49457313839333
47,13.413661,70.29053026441206
48,13.653995,71.77689026520319
49,13.902488,71.7916222108646
50,14.236401,73.00884514297255
51,14.495319,72.42125119224136
52,14.750322,70.00147895288995
53,15.015156,73.02665517341528
54,15.355206,72.72308657387667
55,15.640342,71.19921140397015
56,15.912755,70.29053026441206
57,16.166316,71.49457313839333
58,16.495069,70.00147895288995
59,16.746491,71.19921140397015
60,17.001186,72.42125119224136
61,17.25104,71.19921140397015
62,17.586443,71.7916222108646
63,17.858125,70.86083648940975
64,18.122562,72.72308657387667
65,18.392635,71.49457313839333
66,18.868056,71.49457313839333
67,19.132974,71.49457313839333
68,19.401003,72.37410763095637
69,19.672988,71.77689026520319
70,20.024549,70.29053026441206
71,20.280347,71.82272900380872
72,20.515272,70.90552460413704
73,20.790391,70.90552460413704
74,21.303844,72.42125119224136
75,21.572563,70.5812244031668
76,21.843221,71.19921140397015
77,22.117298,72.42125119224136
78,22.441975,71.19921140397015
79,22.696313,72.12113623035437
80,22.950524,72.42125119224136
81,23.200848,70.29053026441206
82,23.532134,71.19921140397015
83,23.825462,71.49457313839333
84,24.072873,71.7916222108646
85,24.323007,70.00147895288995
86,24.671326,71.19921140397015
87,24.993024,71.19921140397015
88,25.274574,71.77689026520319
89,25.539132,71.15388919163357
90,25.891393,71.19921140397015
91,26.155121,71.7916222108646
92,26.420005,71.19921140397015
93,26.691281,71.77689026520319
94,27.015669,72.12113623035437
95,27.245989,71.77689026520319
96,27.528492,72.42125119224136
97,27.795775,71.49457313839333
98,28.121791,71.19921140397015
99,28.378931,71.19921140397015
100,28.655735,71.19921140397015
101,28.898685,71.77689026520319
102,29.228319,71.48082062077474
103,29.492597,71.19921140397015
104,29.743497,71.19921140397015
105,30.029447,71.19921140397015
106,30.351334,70.90552460413704
107,30.616258,71.49457313839333
108,30.866907,71.19921140397015
109,31.123614,71.19921140397015
110,31.59599,71.19921140397015
