,time (s),surface tension (mN/m)
0,0.009274,73.10314374811485
1,0.307623,73.44719374898112
2,0.562129,74.40281868801209
3,0.81053,74.40281868801209
4,1.119945,67.59446853716912
5,1.409463,70.58359885908341
6,1.683257,73.4183195921579
7,1.964331,69.06935879972718
8,2.305765,68.77799907800355
9,2.617536,72.47835527766296
10,2.918083,72.47835527766296
11,3.205579,73.76384822032962
12,3.513063,68.48832528386627
13,3.772289,67.31110997480738
14,4.060021,68.48832528386627
15,4.321417,68.20032478055347
16,4.640003,74.40281868801209
17,4.893649,72.78982703431743
18,5.124487,71.83029228437401
19,5.360419,66.4348842233166
20,5.594135,75.4022602828867
21,5.873259,77.085400567252
22,6.105301,65.88205835523024
23,6.342093,72.76035472386711
24,6.592815,70.25191375431922
25,6.834926,69.06935879972718
26,7.104243,73.4183195921579
27,7.347144,66.15767897522683
28,7.655008,72.78982703431743
29,7.947986,70.28396432564419
30,8.2761,68.48832528386627
31,8.570308,70.61546396230322
32,8.865762,69.39548375117394
33,9.139952,69.98607572115407
34,9.451091,68.20032478055347
35,9.750647,67.91398504523715
36,10.032643,69.39548375117394
37,10.375088,74.08238503147724
38,10.699082,73.76384822032962
39,10.97476,69.98607572115407
40,11.256106,71.52390676443687
41,11.538697,69.36241720095596
42,11.831215,67.31110997480738
43,12.08835,68.20032478055347
44,12.337926,68.77799907800355
45,12.645412,72.78982703431743
46,12.991122,74.08238503147724
47,13.30215,74.08238503147724
48,13.629951,69.98607572115407
49,13.960969,68.81171904060714
50,14.335759,71.55486996231909
51,14.647511,70.31617603613051
52,14.92,69.39548375117394
53,15.172669,68.48832528386627
54,15.490952,70.61546396230322
55,15.756682,72.1687144351285
56,16.089318,73.76384822032962
57,16.383618,71.83029228437401
58,16.715066,65.88205835523024
59,16.995491,75.07646859036808
60,17.274993,74.08238503147724
61,17.531814,75.07646859036808
62,17.842792,70.61546396230322
63,18.135217,72.1687144351285
64,18.426857,71.55486996231909
65,18.674829,72.1687144351285
66,18.947203,69.68991987878148
67,19.184333,73.44719374898112
68,19.412818,67.31110997480738
69,19.657185,69.06935879972718
70,19.89305,68.77799907800355
71,20.178542,71.52390676443687
72,20.46415,70.61546396230322
73,20.702608,70.61546396230322
74,20.944759,70.91650613840024
75,21.225317,71.21931591477562
76,21.472958,73.76384822032962
77,21.711244,66.74926555351148
78,21.956165,67.31110997480738
79,22.190819,71.52390676443687
80,22.457572,69.68991987878148
81,22.730755,72.78982703431743
82,23.004476,68.20032478055347
83,23.273592,73.13240724541058
84,23.584973,68.48832528386627
85,23.87732,72.1687144351285
86,24.169123,67.91398504523715
87,24.652706,68.48832528386627
88,24.989707,69.39548375117394
89,25.320298,71.86089059236659
90,25.600038,68.20032478055347
91,25.929829,72.1687144351285
92,26.184992,71.21931591477562
93,26.434151,71.21931591477562
94,26.699714,68.77799907800355
95,26.986428,65.60801061079749
96,27.265693,75.07646859036808
97,27.557429,75.37564782020807
98,27.809953,76.4169103431626
99,28.118469,74.72516383055364
100,28.468899,75.07646859036808
101,28.79146,71.21931591477562
102,29.102311,72.1687144351285
103,29.438406,69.39548375117394
104,29.693217,70.61546396230322
105,29.952056,70.91650613840024
106,30.206974,71.86089059236659
107,30.506084,70.61546396230322
108,30.840436,69.39548375117394
109,31.123978,67.91398504523715
110,31.376193,67.02937969052428
111,31.689051,74.40281868801209
112,31.961772,68.20032478055347
113,32.237346,72.44850235104306
114,32.522386,68.16611956970702
