,time (s),surface tension (mN/m)
0,0.108381,59.516155513094404
1,0.353836,58.960757716428645
2,0.543579,58.960757716428645
3,0.776194,60.049472053343976
4,0.987573,57.895301402898234
5,1.243058,59.78199594551553
6,1.442576,58.69943517308887
7,1.660554,59.22368218410463
8,1.854627,57.895301402898234
9,2.037963,59.22368218410463
10,2.230289,58.69943517308887
11,2.457661,60.049472053343976
12,2.647119,59.42962869537164
13,2.83128,58.960757716428645
14,3.000672,58.69943517308887
15,3.193663,60.049472053343976
16,3.396558,60.049472053343976
17,3.65973,58.960757716428645
18,3.899607,57.895301402898234
19,4.139305,59.516155513094404
20,4.422087,58.960757716428645
21,4.626345,59.78199594551553
22,4.859797,58.960757716428645
23,5.07198,58.960757716428645
24,5.258173,58.960757716428645
25,5.446644,59.516155513094404
26,5.67984,59.78199594551553
27,5.920313,59.16622804853624
28,6.114989,58.69943517308887
29,6.305299,59.22368218410463
30,6.489906,58.69943517308887
31,6.672861,58.69943517308887
32,6.867555,58.43970192152713
33,7.138492,58.69943517308887
34,7.386762,58.35569960157017
35,7.635209,58.960757716428645
36,7.857321,58.69943517308887
37,8.098128,58.69943517308887
38,8.381136,58.69943517308887
39,8.618315,58.960757716428645
40,8.827546,58.69943517308887
41,9.031551,58.69943517308887
42,9.239967,59.98944315692965
43,9.467652,58.90442933193232
44,9.666309,58.69943517308887
45,9.860266,58.43970192152713
46,10.054592,58.43970192152713
47,10.243526,59.516155513094404
48,10.431586,60.25739762025234
49,10.683871,58.960757716428645
50,10.916581,58.35569960157017
51,11.156408,58.960757716428645
52,11.396126,57.895301402898234
53,11.638148,58.69943517308887
54,11.916464,58.90442933193232
55,12.123186,58.69943517308887
56,12.336056,59.98944315692965
57,12.543602,58.69943517308887
58,12.730063,58.69943517308887
59,12.982959,58.43970192152713
60,13.195408,58.960757716428645
61,13.382852,58.69943517308887
62,13.584335,59.16622804853624
63,13.775862,58.960757716428645
64,13.966411,58.35569960157017
65,14.189243,58.69943517308887
66,14.403563,58.960757716428645
67,14.611174,59.516155513094404
68,14.851504,58.960757716428645
69,15.091396,58.69943517308887
70,15.353638,58.43970192152713
71,15.59352,59.78199594551553
72,15.828029,57.63996603125629
73,16.048769,58.43970192152713
74,16.248367,58.69943517308887
75,16.490392,58.69943517308887
76,16.705216,58.960757716428645
77,16.932633,58.69943517308887
