,time (s),surface tension (mN/m)
0,0.0,62.394671132473384
1,0.25249,61.62650484381708
2,0.49921,62.19506456333024
3,0.70059,62.394671132473384
4,0.945528,63.245500682218356
5,1.202211,62.4659824912782
6,1.426749,62.69764890073878
7,1.650183,61.62650484381708
8,1.855386,63.245500682218356
9,2.051508,62.97075605556938
10,2.298625,61.894515464777086
11,2.504076,63.245500682218356
12,2.699226,61.894515464777086
13,2.888573,62.19506456333024
14,3.131138,62.12449477792504
15,3.425257,63.245500682218356
16,3.722201,62.394671132473384
17,3.923789,62.73852476507085
18,4.126774,62.73852476507085
19,4.407283,62.4659824912782
20,4.648886,62.12449477792504
21,4.865901,62.394671132473384
22,5.053069,61.894515464777086
23,5.282502,61.62650484381708
24,5.504515,62.4659824912782
25,5.80371,62.97075605556938
26,5.998125,62.394671132473384
27,6.188534,62.666464385939015
28,6.388223,62.394671132473384
29,6.582605,61.894515464777086
30,6.768782,62.12449477792504
31,7.03913,62.394671132473384
32,7.265507,61.894515464777086
33,7.498574,62.394671132473384
34,7.741081,62.73852476507085
35,7.979151,63.245500682218356
36,8.272154,62.12449477792504
37,8.489182,62.394671132473384
38,8.698311,62.97075605556938
39,8.895035,62.12449477792504
40,9.109829,62.73852476507085
41,9.363039,61.894515464777086
42,9.54892,62.666464385939015
43,9.738444,61.894515464777086
44,9.926308,62.394671132473384
45,10.134461,62.666464385939015
46,10.353623,62.394671132473384
47,10.591588,62.666464385939015
48,10.829541,62.666464385939015
49,11.061406,62.394671132473384
50,11.306535,62.394671132473384
51,11.550014,61.894515464777086
52,11.823314,62.394671132473384
53,12.030119,61.894515464777086
54,12.236234,63.245500682218356
55,12.444514,63.245500682218356
56,12.639546,62.164130023593074
57,12.911123,62.666464385939015
58,13.125895,62.164130023593074
59,13.343145,62.164130023593074
60,13.531569,62.394671132473384
61,13.724196,61.894515464777086
62,13.958561,62.666464385939015
63,14.154572,61.894515464777086
64,14.346573,62.164130023593074
65,14.52575,62.666464385939015
66,14.747625,61.894515464777086
67,15.055809,62.394671132473384
68,15.307448,62.666464385939015
69,15.53765,62.164130023593074
70,15.777296,62.164130023593074
71,16.024687,61.32838168295104
72,16.288987,62.394671132473384
73,16.498981,62.164130023593074
74,16.709919,61.894515464777086
75,16.924793,62.43536099573341
76,17.171083,62.394671132473384
77,17.410462,62.394671132473384
78,17.607478,62.666464385939015
79,17.797501,62.939887114601746
80,17.985773,62.666464385939015
81,18.175552,61.894515464777086
82,18.361783,62.394671132473384
83,18.632295,61.894515464777086
84,18.885049,62.394671132473384
85,19.110423,62.394671132473384
86,19.358301,62.43536099573341
87,19.597786,61.82396255080396
88,19.850753,61.82396255080396
89,20.055474,61.82396255080396
90,20.288989,62.666464385939015
91,20.53633,62.394671132473384
92,20.756838,62.43536099573341
93,21.015436,62.164130023593074
94,21.236144,61.32838168295104
95,21.430331,62.666464385939015
96,21.619335,62.666464385939015
97,21.810693,62.666464385939015
98,21.995529,62.164130023593074
99,22.289637,61.62650484381708
100,22.535276,62.164130023593074
101,22.784165,61.82396255080396
102,23.027566,61.32838168295104
103,23.273046,61.82396255080396
104,23.526135,62.666464385939015
105,23.75095,62.666464385939015
106,23.955771,61.55668376002564
107,24.147984,62.09283793596359
108,24.355999,62.666464385939015
109,24.623667,62.666464385939015
110,24.848209,62.666464385939015
111,25.035525,62.666464385939015
112,25.230605,62.939887114601746
113,25.419266,62.666464385939015
114,25.609436,62.164130023593074
115,25.842521,61.894515464777086
116,26.03983,61.82396255080396
117,26.26065,62.09283793596359
118,26.556875,61.894515464777086
119,26.805779,62.09283793596359
120,27.108841,61.82396255080396
121,27.333407,61.59510176309261
122,27.541879,62.164130023593074
123,27.7739,62.164130023593074
124,27.982331,61.894515464777086
125,28.288879,61.82396255080396
126,28.510235,62.666464385939015
127,28.720445,61.82396255080396
128,28.919677,62.666464385939015
129,29.113993,62.43536099573341
130,29.348609,62.164130023593074
131,29.546616,61.32838168295104
132,29.742331,61.82396255080396
133,29.948378,61.32838168295104
134,30.177205,62.666464385939015
135,30.47303,62.09283793596359
136,30.762379,62.939887114601746
137,31.01309,62.394671132473384
138,31.224167,61.894515464777086
139,31.437498,62.666464385939015
140,31.697498,62.939887114601746
141,31.937637,61.894515464777086
142,32.141826,61.863417939101765
143,32.371447,62.939887114601746
144,32.603659,62.164130023593074
145,32.869349,61.82396255080396
146,33.063609,62.666464385939015
147,33.25232,62.666464385939015
148,33.439444,62.164130023593074
149,33.626179,62.939887114601746
150,33.81549,62.666464385939015
151,34.040924,62.164130023593074
152,34.277338,62.666464385939015
153,34.526925,61.894515464777086
154,34.762549,62.939887114601746
155,35.001309,62.939887114601746
156,35.30032,62.164130023593074
157,35.507579,62.939887114601746
158,35.710611,62.939887114601746
159,35.940816,61.32838168295104
160,36.145385,61.894515464777086
161,36.418047,62.394671132473384
162,36.635536,62.164130023593074
163,36.836172,61.894515464777086
164,37.028314,61.82396255080396
165,37.219858,62.666464385939015
166,37.407005,61.59510176309261
167,37.655508,62.09283793596359
168,37.860903,62.43536099573341
169,38.090528,61.894515464777086
170,38.342082,62.939887114601746
171,38.592945,62.43536099573341
172,38.893631,61.894515464777086
173,39.135631,62.394671132473384
174,39.34341,62.666464385939015
175,39.554982,62.43536099573341
176,39.783816,61.894515464777086
177,40.031304,61.32838168295104
178,40.242949,62.09283793596359
179,40.462128,62.43536099573341
180,40.66253,62.939887114601746
181,40.856987,62.666464385939015
182,41.137125,62.09283793596359
183,41.332044,61.59510176309261
184,41.519913,62.43536099573341
185,41.70608,61.32838168295104
186,41.935231,62.36332231468275
187,42.235157,62.666464385939015
188,42.497035,61.82396255080396
189,42.727047,62.666464385939015
190,42.97927,62.666464385939015
191,43.229909,61.82396255080396
192,43.483384,62.394671132473384
193,43.728328,62.394671132473384
194,43.936197,62.666464385939015
195,44.14734,62.43536099573341
196,44.357538,62.666464385939015
197,44.611898,62.43536099573341
198,44.801093,62.43536099573341
199,44.986678,62.164130023593074
200,45.176653,62.666464385939015
201,45.363859,62.666464385939015
202,45.551534,62.939887114601746
203,45.845741,61.55668376002564
204,46.101639,62.43536099573341
205,46.34305,61.32838168295104
206,46.591642,62.666464385939015
207,46.825648,62.939887114601746
208,47.087756,63.79995349508223
209,47.323845,62.394671132473384
210,47.576153,62.394671132473384
211,47.78674,62.939887114601746
212,47.990225,62.939887114601746
213,48.280908,62.394671132473384
214,48.494749,62.939887114601746
215,48.694426,61.82396255080396
216,48.89227,62.09283793596359
217,49.086489,62.939887114601746
218,49.328061,61.82396255080396
219,49.519604,61.82396255080396
220,49.718313,62.36332231468275
221,49.910126,62.43536099573341
222,50.148203,62.708220973768654
223,50.435748,62.666464385939015
224,50.673638,62.09283793596359
225,50.923755,61.82396255080396
226,51.163733,62.43536099573341
227,51.503877,62.43536099573341
228,51.747822,62.666464385939015
229,51.9558,62.939887114601746
230,52.170904,62.43536099573341
231,52.385511,62.09283793596359
232,52.649864,62.939887114601746
233,52.841271,62.666464385939015
234,53.027102,62.09283793596359
235,53.227344,61.59510176309261
236,53.402189,61.32838168295104
237,53.635941,62.43536099573341
238,53.938511,62.666464385939015
239,54.182743,61.59510176309261
240,54.421184,62.36332231468275
241,54.669484,62.43536099573341
242,54.882714,62.164130023593074
243,55.151388,62.939887114601746
244,55.424616,62.939887114601746
245,55.633384,62.36332231468275
246,55.820277,62.939887114601746
247,56.035452,62.43536099573341
248,56.302777,62.394671132473384
249,56.513201,61.82396255080396
250,56.706594,62.43536099573341
251,56.904242,61.894515464777086
252,57.093739,62.939887114601746
253,57.279923,62.939887114601746
254,57.529807,62.164130023593074
255,57.711366,62.43536099573341
256,57.963214,62.43536099573341
257,58.20447,62.939887114601746
258,58.434166,62.09283793596359
259,58.72385,62.666464385939015
260,58.974117,62.939887114601746
261,59.201712,62.43536099573341
262,59.420919,61.82396255080396
263,59.652993,62.666464385939015
264,59.95149,61.82396255080396
