,time (s),surface tension (mN/m)
0,0.105792,64.94560818322456
1,0.307897,64.6997049793999
2,0.501723,64.94560818322456
3,0.682925,64.63787866443536
4,0.879475,65.22252875305303
5,1.121151,64.94560818322456
6,1.30895,64.94560818322456
7,1.505668,64.09145259459295
8,1.734829,65.22252875305303
9,1.978639,64.94560818322456
10,2.278352,64.94560818322456
11,2.51109,64.94560818322456
12,2.751958,64.94560818322456
13,2.98801,65.22252875305303
14,3.196836,64.94560818322456
15,3.448531,65.22252875305303
16,3.69659,64.42500420478773
17,3.928029,64.6997049793999
18,4.149285,64.09145259459295
19,4.344911,65.22252875305303
20,4.595618,65.22252875305303
21,4.818529,64.94560818322456
22,5.025588,64.94560818322456
23,5.220349,64.42500420478773
24,5.437054,64.42500420478773
25,5.734048,63.57769552713416
26,5.998009,64.42500420478773
27,6.232705,65.22252875305303
28,6.478253,65.22252875305303
29,6.696278,64.94560818322456
30,6.93308,65.22252875305303
31,7.162902,64.36386920901589
32,7.350528,65.50107427325376
33,7.539841,64.63787866443536
34,7.727692,64.6997049793999
35,7.915232,63.847928450046176
36,8.164201,64.6997049793999
37,8.368557,64.09145259459295
38,8.604369,64.94560818322456
39,8.820083,65.22252875305303
40,9.063048,65.22252875305303
41,9.356851,64.6997049793999
42,9.555326,65.50107427325376
43,9.811509,64.36386920901589
44,10.052476,64.6997049793999
45,10.442508,65.78125713440855
46,10.647562,65.50107427325376
47,10.855213,64.63787866443536
48,11.04546,64.36386920901589
49,11.234533,65.22252875305303
50,11.423134,64.42500420478773
51,11.652857,65.22252875305303
52,11.84012,63.847928450046176
53,12.021802,64.11974144574172
54,12.208765,65.22252875305303
55,12.430797,63.847928450046176
56,12.739708,64.6997049793999
57,13.004632,64.97601767878258
58,13.235768,64.11974144574172
59,13.475088,65.78125713440855
60,13.696262,63.847928450046176
61,13.973367,65.50107427325376
62,14.193049,65.22252875305303
63,14.415665,64.97601767878258
64,14.645019,65.22252875305303
65,14.84152,64.6997049793999
66,15.071292,63.847928450046176
67,15.265747,64.11974144574172
68,15.456252,65.50107427325376
69,15.688167,65.22252875305303
70,15.885709,64.11974144574172
71,16.123197,63.847928450046176
72,16.351361,64.6997049793999
73,16.588449,64.36386920901589
74,16.825995,64.11974144574172
75,17.055475,63.847928450046176
