solution,cmc,gamma_max,Kad,st_at_cmc,C20
DTAB_1_1,14.246779441833496,2.9892682814526527e-06,770.8983764648438,34.246028900146484,4.356208801269531
DTAB_1_2,13.202885627746582,3.2775946392420938e-06,488.6358642578125,35.93492889404297,5.029029846191406
DTAB_1_3,11.33872127532959,3.784886234569177e-06,379.6851806640625,34.46113586425781,4.46638822555542
TTAB_1_1,2.8928911685943604,6.4629949291818575e-06,223.649169921875,30.285974502563477,1.3733323812484741
TTAB_1_2,3.522411346435547,3.884282380880317e-06,1518.2176513671875,31.69029998779297,1.1748329401016235
TTAB_1_3,2.5632858276367188,6.617837336983938e-06,257.8678283691406,31.174942016601562,1.242749810218811
BDDAB_1_1,5.187747955322266,3.712400065028127e-06,1737.564208984375,28.035669326782227,1.2905943393707275
BDDAB_1_2,5.175469398498535,3.5345433212148894e-06,2265.26806640625,27.50765609741211,1.1462048292160034
BDDAB_1_3,4.6194868087768555,3.379278365117862e-06,2118.613525390625,30.658266067504883,1.2353953123092651
SDBS_1_1,2.5703747272491455,3.3927026911016726e-06,2173.626708984375,35.64170837402344,1.0042691230773926
SDBS_1_2,2.6045572757720947,3.6938742181179834e-06,1635.2528076171875,35.33450698852539,1.062326431274414
SDBS_1_3,2.782259941101074,3.165926150343956e-06,3302.760009765625,34.307716369628906,0.8974999189376831
SDS_2_1,7.600993633270264,4.54915189925457e-06,190.5316925048828,38.34990692138672,4.246277332305908
SDS_2_2,7.392624378204346,4.498601795735087e-06,202.37403869628906,38.19019317626953,4.090124607086182
SDS_2_3,8.014915466308594,4.185398781368179e-06,256.6020812988281,38.23387145996094,4.2403883934021
SOS_4_1,62.77186584472656,3.5270174014532484e-06,51.00104904174805,40.372711181640625,34.2397346496582
SOS_4_2,61.98252868652344,3.249117443901044e-06,65.84490966796875,41.13507080078125,33.81476593017578
SOS_4_3,68.05840301513672,3.3132982057251655e-06,56.0795783996582,40.73930358886719,36.740413665771484
C12E4_1_1,0.0828627198934555,6.517857382906508e-06,10313.6728515625,28.48706817626953,0.03622211515903473
C12E4_1_2,0.07203995436429977,3.864292426372466e-06,81013.59375,30.022008895874023,0.022117067128419876
C12E4_1_3,0.0736742690205574,3.940181782915246e-06,69636.015625,32.43023681640625,0.025675179436802864
NaOleate_1_1,0.1624613255262375,4.7802117938816905e-06,7909.8798828125,38.07099533081055,0.09113112092018127
NaOleate_1_2,0.15356074273586273,4.749508301702065e-06,8435.9091796875,38.24183654785156,0.08669032901525497
NaOleate_1_3,0.17448610067367554,4.6932205303994946e-06,6436.12939453125,40.600860595703125,0.10990719497203827
16BAC_1_1,0.5717021822929382,3.0691888798729324e-06,10681.482421875,38.8916015625,0.25679999589920044
16BAC_1_2,0.5121662020683289,3.3450641391551993e-06,8124.29150390625,39.25849533081055,0.2520340383052826
16BAC_1_3,0.522921085357666,3.5063215459145244e-06,6753.3984375,39.093353271484375,0.26329514384269714
C12E3_1_1,0.07404999434947968,5.011275032580636e-06,38532.49609375,27.541522979736328,0.02519869990646839
C12E3_1_2,0.08987421542406082,4.471890297210898e-06,48697.75390625,28.39361000061035,0.028215987607836723
C12E3_1_3,0.08341065049171448,5.959417918017998e-06,16246.4931640625,28.471355438232422,0.034005820751190186
CTAB_1_1,1.3126240968704224,3.7488295016696877e-06,3712.54736328125,32.6552619934082,0.4655676484107971
CTAB_1_2,0.9604535102844238,4.623274277312318e-06,1880.9744873046875,36.315277099609375,0.48334214091300964
CTAB_1_3,0.9980738162994385,4.700143868405429e-06,1924.6282958984375,34.7977409362793,0.4684840738773346
